claim_number,age_of_driver,gender,marital_status,safty_rating,annual_income,high_education_ind,address_change_ind,living_status,zip_code,claim_date,claim_day_of_week,accident_site,past_num_of_claims,witness_present_ind,liab_prct,channel,policy_report_filed_ind,claim_est_payout,age_of_vehicle,vehicle_category,vehicle_price,vehicle_color,vehicle_weight,fraud
4397,47,F,1.0,77,38503,1,1,Own,15001,8/7/2015,Friday,Local,0,0.0,6,Phone,0,7720.297466,5.0,Large,25654.68628,red,14715.50101,0
4398,56,F,1.0,76,40251,0,1,Own,20106,3/3/2016,Thursday,Local,1,0.0,8,Broker,0,6815.736692,7.0,Medium,43158.952730000005,white,27175.528,0
4399,67,M,0.0,73,42053,1,1,Rent,80021,3/7/2015,Saturday,Parking Lot,0,0.0,91,Broker,1,6917.213703,3.0,Compact,11847.41279,red,24661.17294,1
4400,36,M,0.0,76,35841,1,0,Own,20163,3/24/2015,Tuesday,Local,0,0.0,3,Online,0,5761.140799,6.0,Compact,9810.296124,silver,30050.32162,0
4401,24,F,1.0,89,31762,0,0,Rent,15005,7/13/2015,Monday,Parking Lot,1,1.0,50,Online,1,5160.825797,6.0,Medium,29396.07513,blue,26830.41098,1
4402,37,M,1.0,92,36104,1,0,Own,85005,9/5/2016,Monday,Parking Lot,0,0.0,53,Broker,0,5675.611333,3.0,Large,24113.83645,other,16137.0535,0
4403,80,F,1.0,52,43818,1,0,Rent,85054,12/11/2016,Sunday,Local,1,1.0,4,Broker,0,7613.637506,1.0,Compact,44241.67165,silver,11497.63431,0
4404,53,F,1.0,73,39715,1,1,Rent,20103,10/9/2016,Sunday,Local,1,0.0,95,Phone,1,4715.960574000001,6.0,Large,12262.64021,other,21898.88616,0
4405,39,F,1.0,89,36633,1,0,Rent,50026,1/7/2015,Wednesday,Local,0,0.0,39,Phone,1,5233.1969340000005,3.0,Compact,15942.38063,silver,29526.30937,0
4406,50,M,1.0,90,39113,1,1,Rent,80022,8/13/2016,Saturday,Local,0,0.0,55,Online,1,2856.01186,4.0,Large,13284.96323,blue,37517.89462,0
4407,47,M,1.0,68,38512,1,0,Own,50052,5/25/2015,Monday,Local,0,0.0,86,Online,1,4550.719175,6.0,Compact,6187.543063,white,18460.41879,0
4408,42,F,0.0,67,37361,1,0,Own,20158,3/20/2015,Friday,Local,0,0.0,0,Online,1,5683.9722600000005,3.0,Medium,31419.52317,black,4273.61145,0
4409,50,M,0.0,86,39125,1,0,Own,80004,9/13/2016,Tuesday,Local,2,0.0,97,Broker,0,5753.332595,6.0,Compact,10380.76852,blue,16312.67568,1
4410,64,F,0.0,63,41582,1,1,Own,15022,4/19/2016,Tuesday,Parking Lot,0,0.0,50,Broker,1,4043.200407,8.0,Large,13015.87039,red,32183.831960000003,0
4411,43,M,1.0,87,37588,0,0,Rent,15049,7/30/2015,Thursday,Parking Lot,0,0.0,63,Broker,1,8079.81504,4.0,Compact,17087.2108,gray,19692.35522,0
4412,32,M,0.0,77,34648,1,0,Own,50034,10/29/2016,Saturday,Highway,1,0.0,58,Broker,1,5736.993786999999,4.0,Medium,4810.269126,blue,42346.78393,0
4413,67,M,0.0,63,42047,0,1,Rent,20119,5/2/2015,Saturday,Parking Lot,0,0.0,100,Broker,1,1501.7703720000002,6.0,Large,22642.6737,other,22446.7041,0
4414,30,M,1.0,74,34014,0,1,Own,50020,1/23/2016,Saturday,Parking Lot,3,0.0,51,Phone,1,1581.231541,4.0,Medium,21187.77916,red,13103.23296,0
4415,44,M,1.0,87,37836,1,1,Rent,15035,11/20/2015,Friday,Parking Lot,1,0.0,90,Broker,1,8662.803705,2.0,Compact,20034.60668,silver,24583.7488,0
4416,22,F,1.0,28,30913,0,0,Rent,20163,9/5/2016,Monday,Parking Lot,0,0.0,99,Phone,1,4413.870832,4.0,Medium,6012.558027,white,6629.784649,0
4417,50,M,1.0,89,39132,1,1,Own,50026,11/23/2016,Wednesday,Local,0,0.0,58,Broker,0,6092.292821,6.0,Medium,31698.20901,other,35269.94824,0
4418,32,F,1.0,84,34662,1,0,Own,85001,11/4/2015,Wednesday,Highway,1,0.0,51,Online,1,3436.7361520000004,8.0,Medium,21089.06711,other,20489.76671,0
4419,37,F,1.0,77,36115,1,1,Own,50049,8/16/2016,Tuesday,Parking Lot,1,0.0,5,Phone,1,5927.341325,6.0,Compact,59212.46599,red,20195.20851,0
4420,25,F,1.0,59,32171,0,0,Rent,80103,9/9/2016,Friday,Parking Lot,0,0.0,93,Broker,0,3404.488318,4.0,Medium,20551.02183,silver,18849.60042,0
4421,60,F,1.0,56,40941,0,0,Own,15031,7/20/2015,Monday,Local,0,1.0,4,Phone,0,11137.6013,9.0,Compact,8605.587709,black,19808.39214,0
4422,47,F,1.0,48,38505,0,1,Rent,85037,10/21/2016,Friday,Highway,0,1.0,68,Online,0,3205.457623,3.0,Large,21828.00534,gray,18720.35875,0
4423,53,M,1.0,96,39696,1,1,Own,15037,4/5/2016,Tuesday,Local,2,0.0,34,Broker,1,1427.188538,3.0,Medium,35655.83904,gray,47343.73406,1
4424,40,M,1.0,61,36895,1,0,Own,85063,1/8/2015,Thursday,Local,0,0.0,19,Online,1,5755.671117,1.0,Large,25604.00649,silver,19570.74393,0
4425,58,M,1.0,89,40602,1,1,Rent,85055,9/4/2016,Sunday,Local,0,1.0,40,Phone,1,5913.0276810000005,5.0,Medium,32979.70438,silver,21154.75147,0
4426,44,F,1.0,56,37846,1,0,Own,20139,6/8/2016,Wednesday,Local,1,0.0,35,Online,1,12089.09389,9.0,Medium,21486.071180000003,gray,11192.46153,0
4427,28,F,1.0,68,33309,1,1,Rent,50036,3/14/2015,Saturday,Parking Lot,1,1.0,27,Phone,1,5063.5443,4.0,Large,21050.54164,blue,35230.262930000004,1
4428,44,F,0.0,93,37852,0,1,Rent,15009,1/13/2015,Tuesday,Local,0,1.0,2,Broker,1,4519.237612,6.0,Compact,32117.003630000003,red,34659.39181,0
4429,29,M,0.0,89,33687,1,0,Rent,80005,7/24/2016,Sunday,Parking Lot,3,1.0,13,Broker,1,3230.695561,4.0,Large,13934.12138,silver,16306.73439,0
4430,48,M,1.0,82,38706,1,1,Rent,85031,9/19/2016,Monday,Local,0,0.0,22,Broker,1,3037.354148,7.0,Large,15838.3079,silver,21032.51697,0
4431,71,F,0.0,51,42621,1,1,Own,80021,1/15/2015,Thursday,Local,5,0.0,80,Online,1,3891.084244,6.0,Compact,29619.05881,blue,13460.253319999998,0
4432,27,M,0.0,81,32961,1,0,Own,20138,8/6/2016,Saturday,Parking Lot,1,1.0,87,Online,1,6065.231904,8.0,Compact,14885.86061,silver,33276.6126,1
4433,32,F,0.0,95,34672,1,0,Rent,20148,10/28/2016,Friday,Local,3,0.0,100,Broker,1,3272.732361,5.0,Compact,28870.24529,blue,17027.404130000003,1
4434,37,F,1.0,81,36110,1,0,Own,85033,12/14/2015,Monday,Parking Lot,0,0.0,98,Broker,0,3257.276867,3.0,Compact,56258.52427,blue,6789.209584,0
4435,34,F,1.0,77,35260,1,0,Own,15020,5/17/2016,Tuesday,Local,0,0.0,50,Broker,0,5062.659996,4.0,Compact,9534.054205,gray,33476.99392,0
4436,41,F,0.0,85,37128,1,1,Own,50025,10/3/2015,Saturday,Highway,0,0.0,46,Online,0,2480.424933,7.0,Large,30041.76912,white,17200.37081,1
4437,61,F,0.0,81,41090,1,1,Own,20120,10/26/2015,Monday,Highway,0,0.0,99,Online,1,5015.335862,3.0,Compact,4407.365022,white,28715.65437,0
4438,46,F,0.0,73,38280,1,1,Own,15044,1/10/2015,Saturday,Local,0,0.0,88,Broker,0,6980.34768,7.0,Medium,22406.38447,black,11886.46908,0
4439,33,M,1.0,76,34987,1,0,Own,85064,10/3/2015,Saturday,Parking Lot,0,0.0,60,Phone,1,2443.442163,7.0,Compact,9362.801087,red,42581.5525,0
4440,62,F,1.0,86,41269,1,0,Rent,80017,3/3/2015,Tuesday,Local,0,0.0,0,Broker,1,6301.294763,7.0,Compact,45419.77305,white,9852.605298,0
4441,47,M,1.0,77,38489,1,1,Own,50051,7/12/2016,Tuesday,Local,1,0.0,40,Phone,1,5386.201731,4.0,Medium,15335.18311,black,12401.78476,1
4442,52,F,0.0,79,39520,1,1,Rent,50043,1/11/2016,Monday,Highway,0,0.0,50,Phone,0,6851.023168000001,3.0,Compact,22212.58004,other,49028.71493,0
4443,31,F,1.0,92,34323,1,0,Own,20116,2/8/2015,Sunday,Local,0,1.0,96,Broker,1,9798.959087,3.0,Compact,26713.88439,silver,13140.2279,0
4444,78,F,1.0,82,43577,0,0,Own,15055,4/30/2016,Saturday,Highway,0,0.0,99,Broker,1,6138.697907,6.0,Medium,23023.69293,black,33445.95275,0
4445,37,M,1.0,88,36107,0,1,Own,85054,3/19/2016,Saturday,Local,1,0.0,99,Phone,1,5454.9196950000005,6.0,Medium,12296.11968,silver,19174.73713,0
4446,56,M,1.0,70,40238,0,1,Own,50025,4/3/2015,Friday,Parking Lot,1,0.0,94,Phone,1,3046.940871,5.0,Medium,23460.4706,white,8018.645393000001,1
4447,34,F,0.0,73,35271,1,0,Own,80106,4/1/2016,Friday,Local,0,0.0,96,Broker,1,9937.438501,3.0,Large,26635.54508,other,8697.934364,0
4448,53,F,1.0,68,39700,0,0,Own,15001,3/11/2015,Wednesday,Local,0,,70,Broker,0,3075.180992,6.0,Large,12879.23381,gray,34118.99992,0
4449,40,M,1.0,82,36877,1,1,Own,15012,5/6/2015,Wednesday,Local,1,0.0,0,Broker,1,3953.647819,6.0,Compact,18210.949480000003,black,16010.87669,0
4450,30,F,1.0,76,34014,1,0,Rent,20148,3/26/2016,Saturday,Parking Lot,2,,1,Broker,1,2349.488802,3.0,Large,14109.82853,blue,22071.23033,0
4451,36,M,1.0,68,35815,1,1,Own,85036,9/18/2015,Friday,Local,1,0.0,82,Phone,1,5486.017208,6.0,Compact,22589.84266,black,6281.496183,0
4452,23,F,1.0,81,31353,1,0,Rent,20104,10/18/2016,Tuesday,Local,1,0.0,50,Phone,1,5963.199554,2.0,Compact,19411.11694,gray,18630.19485,0
4453,46,F,1.0,88,38269,1,0,Rent,85060,1/8/2016,Friday,Highway,1,0.0,94,Broker,0,5743.720656,6.0,Compact,12678.66425,white,44556.72632,0
4454,65,F,1.0,82,41746,0,1,Own,15012,4/18/2015,Saturday,Local,0,0.0,91,Phone,0,2843.855952,9.0,Compact,49177.25615,other,47590.00184,0
4455,43,M,1.0,65,37621,1,1,Rent,85006,11/20/2015,Friday,Local,0,1.0,97,Phone,0,3062.8482670000003,4.0,Large,17221.40246,black,26463.71032,0
4456,35,M,1.0,73,35570,1,0,Own,20141,5/10/2016,Tuesday,Highway,2,0.0,68,Online,1,10184.57403,4.0,Compact,10398.30972,silver,21261.002630000003,0
4457,37,M,1.0,89,36116,1,0,Own,20140,3/4/2015,Wednesday,Highway,0,0.0,2,Broker,1,3652.350168,2.0,Large,12958.36659,white,27104.83284,0
4458,37,M,0.0,47,36110,1,1,Own,20148,9/10/2016,Saturday,Local,0,0.0,94,Broker,1,11758.35627,10.0,Compact,13904.90414,silver,13792.53484,0
4459,67,M,1.0,71,42032,0,1,Own,85072,12/21/2016,Wednesday,Highway,0,0.0,98,Broker,0,2167.0575350000004,3.0,Large,11926.57597,red,20085.23496,0
4460,32,M,1.0,65,34661,1,1,Own,80025,5/2/2016,Monday,Highway,1,0.0,74,Phone,1,10486.74585,4.0,Medium,8565.203175,silver,20026.62496,0
4461,46,M,0.0,61,38294,0,0,Own,15001,6/23/2015,Tuesday,Local,1,0.0,12,Broker,1,3270.487749,7.0,Medium,27782.90889,gray,48031.33486,0
4462,31,M,1.0,69,34336,1,0,Rent,85036,4/18/2015,Saturday,Highway,1,1.0,51,Broker,1,3755.193291,3.0,Medium,8717.231083,other,4941.402228,0
4463,36,F,1.0,56,35838,0,1,Own,50057,2/11/2016,Thursday,Local,0,0.0,30,Phone,0,1664.487397,3.0,Compact,11611.2957,black,15529.02144,0
4464,26,M,1.0,69,32554,1,1,Rent,80013,6/16/2015,Tuesday,Local,0,0.0,9,Broker,1,4672.409177,4.0,Large,7283.614113,silver,36564.79147,0
4465,39,M,1.0,86,36639,1,0,Own,20111,9/20/2015,Sunday,Local,1,1.0,10,Broker,1,3450.86558,2.0,Compact,22238.93938,red,16176.04761,0
4466,55,F,1.0,74,40077,0,1,Own,85003,9/23/2015,Wednesday,Local,0,0.0,5,Phone,0,3373.6544619999995,2.0,Medium,12695.26344,white,12881.54176,1
4467,41,F,1.0,58,37146,1,1,Own,80028,10/13/2015,Tuesday,Local,0,0.0,93,Online,0,5029.54638,6.0,Large,28850.91858,blue,12711.05729,1
4468,30,F,1.0,94,33997,1,1,Rent,50025,5/1/2016,Sunday,Parking Lot,0,1.0,48,Broker,0,4390.096587,4.0,Medium,24749.57978,silver,16277.93485,0
4469,28,M,0.0,83,33310,0,0,Rent,15021,1/16/2016,Saturday,Local,0,0.0,50,Online,1,4775.7760020000005,5.0,Medium,10078.69243,other,15606.495980000002,0
4470,55,F,1.0,93,40064,0,0,Own,20160,4/13/2015,Monday,Highway,0,0.0,67,Broker,1,6425.394759000001,6.0,Compact,3654.602724,other,15167.47583,0
4471,29,F,1.0,89,33680,1,1,Own,50021,12/2/2016,Friday,Parking Lot,0,0.0,94,Broker,1,3959.448961,8.0,Compact,36753.19516,black,43720.70371,0
4472,64,F,1.0,80,41605,0,1,Own,15010,12/20/2015,Sunday,Local,0,0.0,2,Broker,1,3696.792546,5.0,Large,14639.905,white,28550.96509,0
4473,53,M,1.0,82,39694,1,1,Rent,85022,10/26/2015,Monday,Highway,0,0.0,50,Broker,1,8272.027293000001,5.0,Compact,37503.745010000006,other,18199.03121,0
4474,30,F,1.0,84,34029,1,1,Rent,20102,9/28/2015,Monday,Local,0,1.0,95,Broker,0,1721.150214,7.0,Large,10760.46735,other,26592.49334,0
4475,50,F,0.0,82,39106,1,0,Rent,80003,11/30/2015,Monday,Parking Lot,0,0.0,86,Online,0,6028.738681,1.0,Compact,27632.40324,silver,10292.70849,0
4476,59,F,0.0,83,40774,0,1,Rent,20109,3/25/2015,Wednesday,Parking Lot,0,1.0,98,Online,1,3697.713049,6.0,Medium,5264.282423,blue,5440.974774,0
4477,28,F,0.0,67,33328,0,0,Own,20112,7/4/2015,Saturday,Highway,0,0.0,91,Phone,0,7449.458288,4.0,Large,20576.0183,other,15331.585169999998,0
4478,44,F,1.0,71,37854,0,1,Own,85043,7/26/2015,Sunday,Parking Lot,0,0.0,12,Broker,1,9847.185987,3.0,Large,14781.7306,black,14828.86145,0
4479,55,M,1.0,92,40085,1,1,Own,80018,1/1/2016,Friday,Local,0,0.0,2,Phone,1,5841.110975,4.0,Medium,9822.102137,red,6370.223796,0
4480,49,F,1.0,64,38912,0,0,Own,85012,3/21/2015,Saturday,Parking Lot,0,0.0,13,Broker,1,5567.959052,2.0,Large,56952.52659,blue,22867.35785,0
4481,57,F,0.0,71,40425,1,1,Own,80021,1/7/2015,Wednesday,Parking Lot,0,1.0,1,Broker,0,2439.0870440000003,5.0,Medium,11430.78921,other,5643.064214,0
4482,35,M,0.0,70,35559,1,1,Own,20108,4/17/2015,Friday,Local,0,0.0,92,Broker,0,1676.658988,6.0,Large,10199.5816,red,18261.89993,0
4483,34,M,1.0,92,35255,1,1,Own,15014,3/2/2015,Monday,Parking Lot,0,0.0,46,Phone,0,4294.874470000001,6.0,Large,50423.90756,silver,24232.17638,0
4484,43,M,1.0,76,37605,1,0,Own,80103,12/24/2016,Saturday,Local,0,0.0,57,Online,1,3143.430014,4.0,Medium,35160.92942,black,46335.92947,0
4485,37,M,1.0,69,36104,1,0,Rent,20152,4/21/2016,Thursday,Local,0,1.0,61,Broker,0,5202.381264,4.0,Compact,38882.51125,white,31340.08525,0
4486,71,F,0.0,70,42616,0,1,Rent,20152,7/14/2016,Thursday,Local,0,1.0,94,Online,0,3170.758011,6.0,Medium,14513.99749,other,11045.57161,0
4487,48,F,1.0,51,38714,1,1,Rent,50054,3/8/2016,Tuesday,Parking Lot,0,0.0,25,Broker,0,3901.547787,3.0,Medium,28462.848960000003,red,13439.60259,0
4488,46,F,1.0,86,38288,1,1,Own,85009,6/15/2016,Wednesday,Highway,0,0.0,66,Online,1,7448.796375,7.0,Large,19047.9737,black,48424.56663,0
4489,47,F,1.0,25,38504,1,0,Rent,85065,8/25/2016,Thursday,Local,0,0.0,1,Phone,0,3404.365603,5.0,Large,7803.455804000001,black,10202.53518,0
4490,51,M,1.0,45,39330,1,0,Rent,85067,11/4/2016,Friday,Local,0,0.0,100,Broker,0,5189.614575,4.0,Compact,14958.549819999998,gray,12689.60467,0
4491,56,M,1.0,63,40264,1,1,Rent,80005,1/27/2015,Tuesday,Parking Lot,0,0.0,24,Broker,1,3268.032757,11.0,Compact,7823.29876,white,12743.90204,0
4492,47,M,1.0,81,38515,1,1,Own,15009,6/1/2015,Monday,Parking Lot,0,0.0,25,Online,1,9062.972353,3.0,Compact,24234.2869,other,37988.99551,0
4493,74,M,1.0,71,43038,1,0,Own,50047,2/22/2015,Sunday,Highway,0,1.0,7,Phone,0,6534.104612,8.0,Medium,28455.7594,black,22022.484,0
4494,27,F,0.0,85,32949,1,0,Rent,20121,6/12/2016,Sunday,Parking Lot,1,0.0,0,Online,0,1659.129768,4.0,Compact,48841.31385,other,56433.11565,0
4495,80,F,1.0,68,43811,1,1,Rent,15021,7/7/2016,Thursday,Highway,0,0.0,60,Phone,0,2903.730202,4.0,Compact,11679.05538,silver,26374.45608,0
4496,45,M,1.0,81,38075,1,0,Rent,80012,5/30/2016,Monday,Local,2,1.0,4,Broker,1,5303.337568,5.0,Large,22273.70444,gray,17499.51285,0
4497,44,M,1.0,77,37855,1,1,Own,15001,8/27/2015,Thursday,Highway,0,0.0,23,Broker,1,2916.314552,7.0,Medium,14050.98681,black,19720.89572,0
4498,23,M,1.0,86,31337,1,1,Rent,85076,8/10/2016,Wednesday,Parking Lot,0,0.0,51,Broker,0,6850.609915000001,7.0,Compact,18031.57767,silver,18406.4894,0
4499,41,F,1.0,71,37136,1,1,Own,50001,8/1/2016,Monday,Local,0,1.0,65,Broker,0,7046.539470999999,3.0,Compact,31583.56959,white,6849.545332,0
4500,42,F,1.0,74,37373,1,1,Rent,80044,1/10/2016,Sunday,Local,3,0.0,89,Broker,1,7270.894692,3.0,Large,4760.543373,red,4269.327923,1
4501,50,M,1.0,90,39123,1,0,Rent,50054,6/5/2016,Sunday,Parking Lot,1,1.0,91,Broker,1,2390.738165,6.0,Large,11073.62954,blue,45029.6483,0
4502,38,M,1.0,85,36376,1,0,Own,85009,1/25/2015,Sunday,Local,0,0.0,4,Phone,0,5613.901532,0.0,Medium,33957.92298,white,12247.14046,0
4503,29,F,1.0,81,33672,0,0,Rent,15034,10/10/2016,Monday,Highway,1,0.0,51,Online,1,5579.961643,4.0,Medium,15536.52818,silver,29266.91933,0
4504,45,M,1.0,71,38061,0,0,Own,85034,5/31/2016,Tuesday,Parking Lot,0,1.0,21,Broker,1,4113.910094,6.0,Compact,57703.95845,red,18073.157430000003,0
4505,43,F,1.0,64,37604,1,0,Own,50021,7/28/2016,Thursday,Local,0,0.0,51,Online,0,4350.57571,5.0,Large,10061.73136,other,37671.35292,0
4506,44,M,1.0,87,37838,1,0,Rent,85040,11/30/2015,Monday,Local,0,0.0,11,Broker,0,5343.954824,2.0,Medium,15575.90317,red,10649.45508,0
4507,42,F,1.0,70,37398,0,0,Own,50046,2/6/2016,Saturday,Local,1,0.0,88,Phone,1,2678.952188,5.0,Large,36533.91245,silver,11104.9142,0
4508,61,M,0.0,78,41105,1,1,Own,50056,12/28/2015,Monday,Highway,1,0.0,2,Online,0,5814.1503170000005,8.0,Compact,4782.921743,other,39358.68917,0
4509,53,M,0.0,62,39707,1,1,Rent,15001,11/6/2016,Sunday,Parking Lot,2,0.0,66,Phone,1,5735.574137,6.0,Medium,25374.1734,silver,37291.10888,1
4510,33,F,1.0,96,34953,0,1,Rent,15004,4/7/2015,Tuesday,Local,2,0.0,23,Broker,1,6938.371743000001,2.0,Compact,29096.27029,other,28929.545660000003,0
4511,36,M,0.0,64,35835,1,1,Own,15022,2/16/2016,Tuesday,Parking Lot,0,1.0,6,Broker,0,3534.765511,3.0,Medium,24683.05407,other,10498.73512,0
4512,52,F,0.0,75,39497,1,0,Rent,50002,1/25/2016,Monday,Highway,0,0.0,44,Broker,1,9517.906866,4.0,Medium,23153.6378,silver,26296.25921,0
4513,50,F,1.0,69,39108,0,0,Rent,80011,6/23/2015,Tuesday,Parking Lot,0,1.0,11,Broker,1,2846.535182,1.0,Medium,27281.09329,silver,14493.72971,0
4514,52,M,1.0,86,39514,1,0,Rent,15010,9/17/2016,Saturday,Local,0,1.0,20,Phone,1,3236.00956,8.0,Compact,14242.95462,other,35029.99831,0
4515,53,M,1.0,98,39713,0,1,Rent,20163,4/16/2016,Saturday,Parking Lot,0,1.0,66,Phone,0,1851.284184,10.0,Large,30585.28632,other,10451.60088,1
4516,30,M,0.0,89,34008,0,0,Own,20116,11/19/2015,Thursday,Parking Lot,0,1.0,83,Broker,1,2596.876999,4.0,Medium,8281.534287999999,black,45789.71563,1
4517,57,M,0.0,93,40432,0,1,Own,20153,1/11/2015,Sunday,Local,0,0.0,53,Broker,0,1963.738538,5.0,Large,33787.5004,black,19707.95631,1
4518,59,M,1.0,63,40763,1,1,Rent,85020,4/4/2016,Monday,Parking Lot,0,0.0,81,Phone,1,6000.54886,4.0,Large,8738.757886,black,27039.163460000003,0
4519,67,M,1.0,89,42066,0,0,Rent,50047,7/9/2015,Thursday,Local,0,0.0,92,Phone,0,4221.155595,3.0,Large,25021.07176,silver,23594.586730000003,0
4520,58,F,1.0,87,40592,1,1,Rent,85014,2/28/2015,Saturday,Parking Lot,0,0.0,74,Broker,0,11942.08426,3.0,Large,31305.682210000003,other,10079.84487,0
4521,24,F,1.0,65,31785,1,1,Rent,50010,8/16/2015,Sunday,Highway,0,0.0,98,Phone,0,3865.704438,8.0,Medium,26720.53642,black,18483.97088,0
4522,42,M,0.0,68,37379,0,1,Own,20105,3/1/2015,Sunday,Highway,1,0.0,57,Broker,1,9821.933245,5.0,Large,19542.70606,silver,15870.01878,0
4523,59,F,0.0,85,40779,1,1,Own,80027,10/26/2016,Wednesday,Parking Lot,2,0.0,67,Phone,1,5807.433578,2.0,Medium,38924.890660000005,other,7414.011245999999,1
4524,54,M,1.0,79,39910,1,0,Rent,85037,9/10/2016,Saturday,Local,0,1.0,22,Broker,0,6331.805943,6.0,Medium,42158.53243,white,19501.68833,0
4525,51,F,1.0,78,39320,1,1,Own,50057,10/31/2016,Monday,Highway,0,0.0,90,Broker,0,3552.3385350000003,3.0,Large,21423.73766,blue,12436.59079,1
4526,44,M,1.0,68,37847,0,0,Rent,80005,4/11/2015,Saturday,Parking Lot,0,0.0,20,Broker,0,5730.794415,5.0,Medium,25841.37,silver,10508.2442,0
4527,46,F,1.0,91,38286,1,1,Own,80004,6/19/2016,Sunday,Local,0,0.0,64,Online,1,5690.837543,6.0,Compact,7643.669195999999,red,24819.30508,0
4528,33,M,1.0,84,34953,0,1,Rent,80028,3/23/2016,Wednesday,Parking Lot,0,0.0,86,Phone,1,7766.830198999999,5.0,Large,27502.12528,blue,17354.381540000002,0
4529,34,M,1.0,89,35258,0,0,Own,80010,8/2/2016,Tuesday,Local,0,1.0,1,Online,1,1734.317198,3.0,Large,13294.97673,blue,21974.22413,0
4530,35,M,0.0,40,35560,0,1,Own,20121,6/3/2015,Wednesday,Parking Lot,0,0.0,5,Phone,0,8814.366547,4.0,Large,8764.030856,silver,44950.07503,1
4531,57,M,0.0,83,40445,1,0,Own,80005,11/1/2015,Sunday,Parking Lot,2,0.0,36,Broker,1,2712.680402,5.0,Large,36718.54578,red,6158.301456,0
4532,79,M,0.0,77,43704,1,0,Own,50038,11/8/2016,Tuesday,Highway,0,1.0,21,Broker,0,3853.857778,4.0,Compact,31591.28517,red,18933.73172,0
4533,46,M,1.0,86,38301,1,1,Rent,80030,6/30/2016,Thursday,Local,0,1.0,51,Online,1,8145.914811,1.0,Compact,30291.54812,other,26680.9098,0
4534,31,F,1.0,70,34338,0,1,Own,20163,6/10/2015,Wednesday,Local,0,1.0,91,Broker,1,3152.915424,5.0,Compact,43472.51405,white,19151.5175,0
4535,32,F,0.0,69,34661,1,0,Own,85016,8/17/2016,Wednesday,Highway,1,0.0,28,Phone,0,2470.364795,5.0,Medium,7884.640020999999,black,20277.59102,1
4536,70,M,1.0,68,42484,1,0,Own,85077,2/12/2015,Thursday,Highway,0,0.0,52,Broker,0,4758.387953,8.0,Compact,14033.409630000002,blue,21192.0623,0
4537,44,M,0.0,87,37853,1,0,Own,50021,10/30/2015,Friday,Local,0,0.0,99,Broker,0,6842.252133,3.0,Compact,30337.14489,gray,22552.1508,0
4538,60,M,1.0,72,40947,1,0,Own,50025,6/4/2015,Thursday,Local,0,1.0,98,Phone,1,4490.657852,6.0,Compact,27821.12361,other,34941.32192,0
4539,38,F,0.0,49,36374,1,1,Rent,50047,8/14/2015,Friday,Local,1,0.0,14,Broker,1,4500.819071,1.0,Compact,24896.88776,red,22561.98669,0
4540,48,M,0.0,85,38715,1,0,Rent,80110,4/17/2015,Friday,Local,0,1.0,55,Broker,1,3946.541882,8.0,Large,5676.908237,blue,21910.84282,0
4541,38,M,0.0,88,36373,1,1,Rent,85044,6/6/2016,Monday,Local,0,0.0,64,Phone,1,4806.725332999999,3.0,Medium,25886.00709,blue,39815.59812,0
4542,45,M,0.0,66,38071,0,0,Own,15046,12/15/2015,Tuesday,Highway,0,0.0,99,Broker,0,5620.081647,3.0,Large,46496.36599,other,46986.5821,0
4543,25,M,0.0,47,32183,1,1,Rent,50001,2/11/2016,Thursday,Highway,0,1.0,67,Phone,0,8618.184463,5.0,Compact,29789.47785,red,6351.373163,0
4544,49,M,1.0,53,38920,0,1,Rent,15035,9/26/2015,Saturday,Local,0,1.0,98,Phone,0,14027.90658,6.0,Medium,21903.15703,white,10196.05102,0
4545,42,F,1.0,77,37368,1,0,Own,50013,1/10/2015,Saturday,Local,0,0.0,88,Online,0,5136.5963090000005,2.0,Large,54212.75538,gray,22872.61206,0
4546,39,M,1.0,74,36635,0,1,Own,50009,1/21/2016,Thursday,Highway,0,0.0,70,Online,1,3438.307581,1.0,Compact,19238.71795,red,20929.47847,0
4547,36,F,1.0,42,35840,1,1,Own,85027,6/9/2016,Thursday,Highway,0,0.0,47,Broker,1,2815.345408,5.0,Large,17757.03041,other,14214.24915,0
4548,39,F,1.0,63,36627,1,0,Own,50047,5/15/2015,Friday,Parking Lot,0,1.0,29,Broker,0,4157.576927,9.0,Compact,9672.630904,other,24925.25191,0
4549,68,F,1.0,84,42196,1,0,Own,80040,2/10/2016,Wednesday,Local,0,0.0,21,Broker,1,5251.347375,4.0,Large,29696.20738,silver,13777.52764,0
4550,33,M,0.0,78,34972,1,1,Rent,15022,10/14/2016,Friday,Local,0,0.0,58,Broker,1,2951.104635,3.0,Medium,9226.626236,white,41225.23473,1
4551,42,M,1.0,92,37377,1,1,Own,15020,10/10/2015,Saturday,Local,1,0.0,66,Phone,0,3712.284836,3.0,Medium,24036.6171,silver,10320.15249,0
4552,34,M,1.0,56,35261,1,0,Rent,15012,11/1/2015,Sunday,Local,2,1.0,49,Broker,1,2770.94003,2.0,Compact,26126.63638,blue,17191.739869999998,0
4553,38,F,1.0,76,36374,0,1,Rent,20140,7/12/2016,Tuesday,Highway,0,0.0,84,Broker,1,3461.581896,2.0,Medium,44951.37005,white,23506.64283,0
4554,46,M,0.0,83,38304,1,0,Rent,85070,11/8/2015,Sunday,Parking Lot,0,0.0,0,Broker,1,4580.849745,4.0,Large,57172.22455,gray,54261.1606,1
